"id","label","parent","obsolete"
"animals","Animals","","0"
"animals_amphibians","Amphibians","animals","0"
"animals_birds","Birds","animals","0"
"animals_fish","Fish","animals","0"
"animals_insects","Insects","animals","0"
"animals_mammals","Mammals","animals","0"
"animals_marsupials","Marsupials","animals","0"
"animals_reptiles","Reptiles","animals","0"
"animals_shellfish","Shellfish","animals","0"
"animals_spiders","Spiders","animals","0"
"body","Body","","0"
"body_bodily_afflictions_health","Bodily Afflictions/Health","body","0"
"body_body_parts","Body Parts","body","0"
"body_senses","Senses","body","0"
"body_speech_language","Speech and Language","body","0"
"colours","Colours","","0"
"conjunctions","Conjunctions","","0"
"events","Events","","0"
"events_activities","Activities","events","0"
"events_motion","Motion","events","0"
"events_states","States","events","0"
"events_thinking_feeling","Thinking/Feeling","events","0"
"events_time","Time","events","0"
"food","Food","","0"
"food_gathering_making","Gathering and Making","food","0"
"human_relations","Human Relations","","0"
"human_relations_kinship_terms","Kinship Terms","human_relations","0"
"human_things_activities","Human Things/Activities","","0"
"human_things_activities_buildings","Buildings","human_things_activities","0"
"human_things_activities_clothing","Clothing","human_things_activities","0"
"human_things_activities_dwelling","Dwelling","human_things_activities","0"
"human_things_activities_employment_work","Employment/Work","human_things_activities","0"
"human_things_activities_fishing_hunting","Fishing/Hunting","human_things_activities","0"
"human_things_activities_government","Government","human_things_activities","0"
"human_things_activities_making_cultural_objects","Making Cultural Objects","human_things_activities","0"
"human_things_activities_tools_implements","Tools/Implements","human_things_activities","0"
"human_things_activities_trade","Trade","human_things_activities","0"
"human_things_activities_sports","Sports","human_things_activities","0"
"human_things_activities_transportation","Transportation","human_things_activities","0"
"nature_environment","Nature / Environment","","0"
"nature_environment_landscape","Landscape","nature_environment","0"
"nature_environment_natural_resources","Natural Resources","nature_environment","0"
"nature_environment_place_names","Place Names","nature_environment","0"
"nature_environment_place_location","Place/Location","nature_environment","0"
"nature_environment_seasons","Seasons","nature_environment","0"
"nature_environment_weather","Weather","nature_environment","0"
"numbers","Numbers","","0"
"plants","Plants","","0"
"plants_ferns","Ferns","plants","0"
"plants_flowers","Flowers","plants","0"
"plants_food_plants","Food Plants","plants","0"
"plants_fungi","Fungi","plants","0"
"plants_grasses","Grasses","plants","0"
"plants_lichens","Lichens","plants","0"
"plants_medicine_plants","Medicine Plants","plants","0"
"plants_shrubs","Shrubs","plants","0"
"plants_trees","Trees","plants","0"
"plants_vegetables","Vegetables","plants","0"
"prepositions","Prepositions","","0"
"question_words","Question Words","","0"
"spirit","Spirit","","0"
"spirit_spiritual_beliefs","Spiritual Beliefs","spirit","0"
