"id","label","parent","obsolete"
"errors","Errors","","0"
"general","General","","0"
"models","Models","","0"
"operations","Operations","","0"
"providers","Providers","","0"
"tour","Tour","","0"
"tour_error","Error","tour","0"
"views","Views","","0"
"views_components","Components","views","0"
"views_components_dashboard","Dashboard","views_components","0"
"views_components_dialog_create_form","Dialog Create Form","views_components","0"
"views_components_document","Document","views_components","0"
"views_components_editor","Editor","views_components","0"
"views_components_navigation","Navigation","views_components","0"
"views_hocs","Hocs","views","0"
"views_hocs_view","View","views_hocs","0"
"views_pages","Pages","views","0"
"views_pages_explore","Explore","views_pages","0"
"views_pages_explore_archive","Archive","views_pages_explore","0"
"views_pages_explore_dialect","Dialect","views_pages_explore","0"
"views_pages_explore_dialect_category","Category","views_pages_explore_dialect","0"
"views_pages_explore_dialect_contributors","Contributors","views_pages_explore_dialect","0"
"views_pages_explore_dialect_gallery","Gallery","views_pages_explore_dialect","0"
"views_pages_explore_dialect_learn","Learn","views_pages_explore_dialect","0"
"views_pages_explore_dialect_learn_alphabet","Alphabet","views_pages_explore_dialect_learn","0"
"views_pages_explore_dialect_learn_songs_stories","Songs & Stories","views_pages_explore_dialect_learn","0"
"views_pages_explore_dialect_learn_phrases","Phrases","views_pages_explore_dialect_learn","0"
"views_pages_explore_dialect_learn_words","Words","views_pages_explore_dialect_learn","0"
"views_pages_explore_dialect_links","Links","views_pages_explore_dialect","0"
"views_pages_explore_dialect_media","Media","views_pages_explore_dialect","0"
"views_pages_explore_dialect_phrase_books","Phrase Books","views_pages_explore_dialect","0"
"views_pages_explore_dialect_phrases","Phrases","views_pages_explore_dialect","0"
"views_pages_explore_dialect_play","Play","views_pages_explore_dialect","0"
"views_pages_explore_dialect_play_hangman","Hangman","views_pages_explore_dialect_play","0"
"views_pages_explore_dialect_play_picture_this","Picture This","views_pages_explore_dialect_play","0"
"views_pages_explore_dialect_play_quiz","Quiz","views_pages_explore_dialect_play","0"
"views_pages_explore_dialect_reports","Reports","views_pages_explore_dialect","0"
"views_pages_explore_dialect_users","Users","views_pages_explore_dialect","0"
"views_pages_get_started","Get Started","views_pages","0"
"views_pages_home","Home","views_pages","0"
"views_pages_intro","Intro","views_pages","0"
"views_pages_kids","Kids","views_pages","0"
"views_pages_search","Search","views_pages","0"
"views_pages_tasks","Tasks","views_pages","0"
"views_pages_users","Users","views_pages","0"
"views_pages_users_forgot","Forgot","views_pages_users","0"
"views_pages_users_group","Group","views_pages_users","0"
"views_pages_users_login","Login","views_pages_users","0"
"views_pages_users_profile","Profile","views_pages_users","0"
"views_pages_users_register","Register","views_pages_users","0"
