"id","label","type","category","template_strings","obsolete"
"errors.feedback_include_link","errors.feedback_include_link","phrase","errors","",""
"errors.page_not_found","errors.page_not_found","phrase","errors","",""
"errors.report_via_feedback","errors.report_via_feedback","phrase","errors","",""
"general.about","general.about","phrase","general","",""
"general.about_our_archive","general.about_our_archive","phrase","general","",""
"general.about_our_language","general.about_our_language","phrase","general","",""
"general.about_the","general.about_the","phrase","general","",""
"general.access_more_words_for_letter","general.access_more_words_for_letter","phrase","general","",""
"general.account_created","general.account_created","phrase","general","",""
"general.account_details","general.account_details","phrase","general","",""
"general.account_info","general.account_info","phrase","general","",""
"general.accounts","general.accounts","phrase","general","",""
"general.actions","general.actions","phrase","general","",""
"general.activate","general.activate","phrase","general","",""
"general.activities","general.activities","phrase","general","",""
"general.activity","general.activity","phrase","general","",""
"general.activity_no_content","general.activity_no_content","phrase","general","",""
"general.add","general.add","phrase","general","",""
"general.add_account_for_user","general.add_account_for_user","phrase","general","",""
"general.add_another_spellin","general.add_another_spellin","phrase","general","",""
"general.add_another_spelling","general.add_another_spelling","phrase","general","",""
"general.add_copy_of_page","general.add_copy_of_page","phrase","general","",""
"general.add_categories","general.add_categories","phrase","general","",""
"general.add_cultural_note","general.add_cultural_note","phrase","general","",""
"general.add_definition","general.add_definition","phrase","general","",""
"general.add_literal_translation","general.add_literal_translation","phrase","general","",""
"general.add_related_audio","general.add_related_audio","phrase","general","",""
"general.add_related_pictures","general.add_related_pictures","phrase","general","",""
"general.add_related_phrases","general.add_related_phrases","phrase","general","",""
"general.add_related_videos","general.add_related_videos","phrase","general","",""
"general.add_source","general.add_source","phrase","general","",""
"general.add_images_to_gallery","general.add_images_to_gallery","phrase","general","",""
"general.add_images_to_slide","general.add_images_to_slide","phrase","general","",""
"general.add_new","general.add_new","phrase","general","",""
"general.add_new_category","general.add_new_category","phrase","general","",""
"general.add_new_dictionary","general.add_new_dictionary","phrase","general","",""
"general.add_new_lesson","general.add_new_lesson","phrase","general","",""
"general.add_new_page","general.add_new_page","phrase","general","",""
"general.add_new_phrase","general.add_new_phrase","phrase","general","",""
"general.add_new_phrase_book","general.add_new_phrase_book","phrase","general","",""
"general.add_new_song_book","general.add_new_song_book","phrase","general","",""
"general.add_new_story_book","general.add_new_story_book","phrase","general","",""
"general.add_new_word","general.add_new_word","phrase","general","",""
"general.add_phrase","general.add_phrase","phrase","general","",""
"general.add_words","general.add_words","phrase","general","",""
"general.added_below","general.added_below","phrase","general","",""
"general.additional_languages","general.additional_languages","phrase","general","",""
"general.additional_text","general.additional_text","phrase","general","",""
"general.address","general.address","phrase","general","",""
"general.admin","general.admin","phrase","general","",""
"general.admin_email","general.admin_email","phrase","general","",""
"general.admin_first_name","general.admin_first_name","phrase","general","",""
"general.admin_guide_assist","general.admin_guide_assist","phrase","general","",""
"general.admin_last_name","general.admin_last_name","phrase","general","",""
"general.admin_telephone","general.admin_telephone","phrase","general","",""
"general.administrator","general.administrator","phrase","general","",""
"general.audio_upload","general.audio_upload","phrase","general","",""
"general.audio_browse","general.audio_browse","phrase","general","",""
"general.adobe_reader","general.adobe_reader","phrase","general","",""
"general.age","general.age","phrase","general","",""
"general.age_group","general.age_group","phrase","general","",""
"general.alberta","general.alberta","phrase","general","",""
"general.all","general.all","phrase","general","",""
"general.all_dialects","general.all_dialects","phrase","general","",""
"general.alphabet","general.alphabet","phrase","general","",""
"general.alphabet_de","general.alphabet_de","phrase","general","",""
"general.alphabet_view","general.alphabet_view","phrase","general","",""
"general.already_member","general.already_member","phrase","general","",""
"general.ancestor","general.ancestor","phrase","general","",""
"general.ancestry","general.ancestry","phrase","general","",""
"general.animals","general.animals","phrase","general","",""
"general.answer","general.answer","phrase","general","",""
"general.any_role","general.any_role","phrase","general","",""
"general.anything","general.anything","phrase","general","",""
"general.app_error_occurred","general.app_error_occurred","phrase","general","",""
"general.approve","general.approve","phrase","general","",""
"general.approve_activate","general.approve_activate","phrase","general","",""
"general.approver","general.approver","phrase","general","",""
"general.apr","general.apr","phrase","general","",""
"general.april","general.april","phrase","general","",""
"general.art_gallery","general.art_gallery","phrase","general","",""
"general.art_gallery_curr","general.art_gallery_curr","phrase","general","",""
"general.as_of","general.as_of","phrase","general","",""
"general.assign","general.assign","phrase","general","",""
"general.audio","general.audio","phrase","general","",""
"general.audio_files","general.audio_files","phrase","general","",""
"general.audio_recording","general.audio_recording","phrase","general","",""
"general.aug","general.aug","phrase","general","",""
"general.august","general.august","phrase","general","",""
"general.author","general.author","phrase","general","",""
"general.author_profile","general.author_profile","phrase","general","",""
"general.back_to_main_site","general.back_to_main_site","phrase","general","",""
"general.backyard","general.backyard","phrase","general","",""
"general.bear","general.bear","phrase","general","",""
"general.become_member","general.become_member","phrase","general","",""
"general.bedroom","general.bedroom","phrase","general","",""
"general.bird","general.bird","phrase","general","",""
"general.book","general.book","phrase","general","",""
"general.book_title","general.book_title","phrase","general","",""
"general.books","general.books","phrase","general","",""
"general.british_columbia","general.british_columbia","phrase","general","",""
"general.browse","general.browse","phrase","general","",""
"general.browse_media","general.browse_media","phrase","general","",""
"general.browser","general.browser","phrase","general","",""
"general.browsers","general.browsers","phrase","general","",""
"general.bulk_import","general.bulk_import","phrase","general","",""
"general.by","general.by","phrase","general","",""
"general.camping","general.camping","phrase","general","",""
"general.canada","general.canada","phrase","general","",""
"general.cancel","general.cancel","phrase","general","",""
"general.caption_note","general.caption_note","phrase","general","",""
"general.categories","general.categories","phrase","general","",""
"general.categories_browse","general.categories_browse","phrase","general","",""
"general.category","general.category","phrase","general","",""
"general.category_view","general.category_view","phrase","general","",""
"general.change_password","general.change_password","phrase","general","",""
"general.change_user_account_information_failed_save","general.change_user_account_information_failed_save","phrase","general","",""
"general.change_user_info","general.change_user_info","phrase","general","",""
"general.changes_saved","general.changes_saved","phrase","general","",""
"general.char_order","general.char_order","phrase","general","",""
"general.char_value","general.char_value","phrase","general","",""
"general.character","general.character","phrase","general","",""
"general.characters","general.characters","phrase","general","",""
"general.characters_left","general.characters_left","phrase","general","",""
"general.check","general.check","phrase","general","",""
"general.child","general.child","phrase","general","",""
"general.children","general.children","phrase","general","",""
"general.choose","general.choose","phrase","general","",""
"general.choose_default_lang","general.choose_default_lang","phrase","general","",""
"general.choose_lang","general.choose_lang","phrase","general","",""
"general.choose_lang_no_escape_html","general.choose_lang_no_escape_html","phrase","general","",""
"general.choose_password","general.choose_password","phrase","general","",""
"general.choose_theme","general.choose_theme","phrase","general","",""
"general.choose_theme2","general.choose_theme2","phrase","general","",""
"general.chosen_theme","general.chosen_theme","phrase","general","",""
"general.chosen_user_already_exists","general.chosen_user_already_exists","phrase","general","",""
"general.chrome","general.chrome","phrase","general","",""
"general.city","general.city","phrase","general","",""
"general.classroom","general.classroom","phrase","general","",""
"general.clear","general.clear","phrase","general","",""
"general.clear_search_results","general.clear_search_results","phrase","general","",""
"general.click","general.click","phrase","general","",""
"general.click_text_area","general.click_text_area","phrase","general","",""
"general.click_to_select_user","general.click_to_select_user","phrase","general","",""
"general.close","general.close","phrase","general","",""
"general.close_this_window","general.close_this_window","phrase","general","",""
"general.color","general.color","phrase","general","",""
"general.coloring_book","general.coloring_book","phrase","general","",""
"general.colouring_book","general.colouring_book","phrase","general","",""
"general.column","general.column","phrase","general","",""
"general.columns","general.columns","phrase","general","",""
"general.common_files","general.common_files","phrase","general","",""
"general.community_art_gallery","general.community_art_gallery","phrase","general","",""
"general.community_photo_album","general.community_photo_album","phrase","general","",""
"general.community_portal","general.community_portal","phrase","general","",""
"general.community_slide_show","general.community_slide_show","phrase","general","",""
"general.conditions_of_use","general.conditions_of_use","phrase","general","",""
"general.contact","general.contact","phrase","general","",""
"general.contact_info","general.contact_info","phrase","general","",""
"general.contact_information","general.contact_information","phrase","general","",""
"general.contact_us","general.contact_us","phrase","general","",""
"general.contact_us_to_publish_x","general.contact_us_to_publish_x","template","general","What is being published",""
"general.contacts","general.contacts","phrase","general","",""
"general.content","general.content","phrase","general","",""
"general.continue_to_lang","general.continue_to_lang","phrase","general","",""
"general.contribute","general.contribute","phrase","general","",""
"general.contributor","general.contributor","phrase","general","",""
"general.contributor_profile","general.contributor_profile","phrase","general","",""
"general.contributors","general.contributors","phrase","general","",""
"general.contributors_browse","general.contributors_browse","phrase","general","",""
"general.contributor_s","general.contributor_s","phrase","general","",""
"general.copy","general.copy","phrase","general","",""
"general.copy_of_phrase_created","general.copy_of_phrase_created","phrase","general","",""
"general.copy_of_word_created_change_category","general.copy_of_word_created_change_category","phrase","general","",""
"general.copy_of_word_created_change_spelling","general.copy_of_word_created_change_spelling","phrase","general","",""
"general.copyright","general.copyright","phrase","general","",""
"general.copyright_law_statement","general.copyright_law_statement","phrase","general","",""
"general.country","general.country","phrase","general","",""
"general.create","general.create","phrase","general","",""
"general.create_account","general.create_account","phrase","general","",""
"general.create_account2","general.create_account2","phrase","general","",""
"general.create_copy_of_phrase","general.create_copy_of_phrase","phrase","general","",""
"general.create_edit_account","general.create_edit_account","phrase","general","",""
"general.create_entry","general.create_entry","phrase","general","",""
"general.create_gallery","general.create_gallery","phrase","general","",""
"general.create_language_group","general.create_language_group","phrase","general","",""
"general.create_new_account","general.create_new_account","phrase","general","",""
"general.create_new_lang_group","general.create_new_lang_group","phrase","general","",""
"general.created","general.created","phrase","general","",""
"general.created_by","general.created_by","phrase","general","",""
"general.cultural_note","general.cultural_note","phrase","general","",""
"general.curr_filename","general.curr_filename","phrase","general","",""
"general.custom","general.custom","phrase","general","",""
"general.custom_alphabet_chart","general.custom_alphabet_chart","phrase","general","",""
"general.date","general.date","phrase","general","",""
"general.date_created","general.date_created","phrase","general","",""
"general.date_updated","general.date_updated","phrase","general","",""
"general.dates","general.dates","phrase","general","",""
"general.day","general.day","phrase","general","",""
"general.deactivate","general.deactivate","phrase","general","",""
"general.dec","general.dec","phrase","general","",""
"general.december","general.december","phrase","general","",""
"general.default","general.default","phrase","general","",""
"general.default_dictionary","general.default_dictionary","phrase","general","",""
"general.default_new_words","general.default_new_words","phrase","general","",""
"general.definition","general.definition","phrase","general","",""
"general.definitions","general.definitions","phrase","general","",""
"general.delete","general.delete","phrase","general","",""
"general.delete_lowercase","general.delete_lowercase","phrase","general","",""
"general.deleted","general.deleted","phrase","general","",""
"general.deleting","general.deleting","phrase","general","",""
"general.description","general.description","phrase","general","",""
"general.desired_id","general.desired_id","phrase","general","",""
"general.desired_pass","general.desired_pass","phrase","general","",""
"general.dialect","general.dialect","phrase","general","",""
"general.dialect_short_url","general.dialect_short_url","phrase","general","",""
"general.dialects","general.dialects","phrase","general","",""
"general.dictionaries","general.dictionaries","phrase","general","",""
"general.dictionary","general.dictionary","phrase","general","",""
"general.dictionary_export","general.dictionary_export","phrase","general","",""
"general.dictionary_name","general.dictionary_name","phrase","general","",""
"general.direct_link","general.direct_link","phrase","general","",""
"general.directories","general.directories","phrase","general","",""
"general.directory","general.directory","phrase","general","",""
"general.disabld","general.disabld","phrase","general","",""
"general.disable","general.disable","phrase","general","",""
"general.disabled","general.disabled","phrase","general","",""
"general.disclaimer","general.disclaimer","phrase","general","",""
"general.display","general.display","phrase","general","",""
"general.display_alphabet_grid","general.display_alphabet_grid","phrase","general","",""
"general.display_in","general.display_in","phrase","general","",""
"general.display_keyboard","general.display_keyboard","phrase","general","",""
"general.display_maps","general.display_maps","phrase","general","",""
"general.display_new_words","general.display_new_words","phrase","general","",""
"general.display_phrase_in_child_archive","general.display_phrase_in_child_archive","phrase","general","",""
"general.display_song_in_child_archive","general.display_song_in_child_archive","phrase","general","",""
"general.display_story_in_child_archive","general.display_story_in_child_archive","phrase","general","",""
"general.display_translations","general.display_translations","phrase","general","",""
"general.display_word_in_child_archive","general.display_word_in_child_archive","phrase","general","",""
"general.display_word_list","general.display_word_list","phrase","general","",""
"general.do_you_want_to_see_the_english_translations","general.do_you_want_to_see_the_english_translations","phrase","general","",""
"general.document","general.document","phrase","general","",""
"general.document_title","general.document_title","phrase","general","",""
"general.document_types","general.document_types","phrase","general","",""
"general.documents","general.documents","phrase","general","",""
"general.dom_lang_in_eng","general.dom_lang_in_eng","phrase","general","",""
"general.dom_lang_in_french","general.dom_lang_in_french","phrase","general","",""
"general.donate","general.donate","phrase","general","",""
"general.done_password_reset","general.done_password_reset","phrase","general","",""
"general.down","general.down","phrase","general","",""
"general.duplicate","general.duplicate","phrase","general","",""
