"id","label","parent","obsolete"
"basic","Basic","","0"
"verb","Verb","basic","0"
"noun","Noun","basic","0"
"pronoun","Pronoun","basic","0"
"adjective","Adjective","basic","0"
"adverb","Adverb","basic","0"
"preposition","Preposition","basic","0"
"conjunction","Conjunction","basic","0"
"interjection","Interjection","basic","0"
"particle","Particle","basic","0"
"advanced","Advanced","","0"
"pronoun_personal","Pronoun - Personal","advanced","0"
"pronoun_reflexive","Pronoun - Reflexive","advanced","0"
"pronoun_reciprocal","Pronoun - Reciprocal","advanced","0"
"pronoun_demonstrative","Pronoun - Demonstrative","advanced","0"
"pronoun_relative","Pronoun - Relative","advanced","0"
"particle_postposition","Particle - Postposition","advanced","0"
"particle_quantifier","Particle - Quantifier","advanced","0"
"particle_article_determiner","Particle - Article/Determiner","advanced","0"
"particle_tense_aspect","Particle - Tense/Aspect","advanced","0"
"particle_modal","Particle - Modal","advanced","0"
"particle_conjunction","Particle - Conjunction","advanced","0"
"particle_auxiliary_verb","Particle - Auxiliary Verb","advanced","0"
"particle_adjective","Particle - Adjective","advanced","0"
"particle_adverb","Particle - Adverb","advanced","0"
"entity_noun_like_word","Entity (Noun-like word)","advanced","0"
"event_activity_verb_like_word","Event/Activity (Verb-like word)","advanced","0"
"event_activity_verb_like_word_transitive","Event/Activity (Verb-like word) - transitive","advanced","0"
"event_activity_verb_like_word_intransitive","Event/Activity (Verb-like word) - intransitive","advanced","0"
"event_activity_verb_like_word_reflexive","Event/Activity (Verb-like word) - reflexive","advanced","0"
"event_activity_verb_like_word_reciprocal","Event/Activity (Verb-like word) - reciprocal","advanced","0"
"suffix_prefix","Suffix / Prefix","advanced","0"
"question_word","Question word","advanced","0"
