WORD,PART_OF_SPEECH,PRONUNCIATION,DEFINITION,DEFINITION_2,LITERAL_TRANSLATION,CATEGORIES,CULTURAL_NOTE,CULTURAL_NOTE_2,REFERENCE,ACKNOWLEDGEMENT,INCLUDE_IN_GAMES,CHILD_FRIENDLY,AUDIO_TITLE,AUDIO_DESCRIPTION,AUDIO_FILENAME,AUDIO_SHARED_WITH_OTHER_DIALECTS,AUDIO_CHILD_FOCUSED,AUDIO_SOURCE,AUDIO_RECORDER,IMG_TITLE,IMG_FILENAME,IMG_DESCRIPTION,IMG_SHARED_WITH_OTHER_DIALECTS,IMG_CHILD_FOCUSED,IMG_SOURCE,IMG_RECORDER,VIDEO_TITLE,VIDEO_FILENAME,VIDEO_DESCRIPTION,VIDEO_SHARED_WITH_OTHER_DIALECTS,VIDEO_CHILD_FOCUSED,VIDEO_SOURCE,VIDEO_RECORDER,USERNAME,USERNAME_2,CONTRIBUTOR,RELATED_PHRASE,RELATED_PHRASE_DEFINITION,RELATED_PHRASE_LITERAL_TRANSLATION,RELATED_PHRASE_AUDIO_TITLE,RELATED_PHRASE_AUDIO_DESCRIPTION,RELATED_PHRASE_AUDIO_FILENAME,RELATED_PHRASE_AUDIO_SHARED_WITH_OTHER_DIALECTS,RELATED_PHRASE_AUDIO_CHILD_FOCUSED,RELATED_PHRASE_AUDIO_SOURCE,RELATED_PHRASE_AUDIO_RECORDER
?:,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
?!,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
?<!,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
?<=,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
?=,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
.,noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
(*),noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
[],noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
[\b],noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
{},noun,TestPronunciation,TestTranslation,,TestLiteralTranslation,TestCategory,TestCulturalNote,,TestReference,TestAcknowledgement,1,1,TestWordAudio,TestAudioDescription,test_related_audio.wav,0,0,,,,,,,,,,,,,,,,,TESTLANGUAGESEVEN_ADMIN,,,,,,,,,,,,
